,product,stars,comment,productlink
447,iPhone 8,5,Пользовался 3 года Ни разу не заглючил,/catalog/phones/apple/iphone_8/reviews-ASgBAgICA0SywA20sDi0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI1MDc1MTQ0thMyboWEAAA__9I8OvEQAAAAA&item_id=2507541936
3185,iPhone X,4,Я выбрал эту модель изза отличного экрана и камеры,/catalog/phones/apple/iphone_x/reviews-ASgBAgICA0SywA2q2zi0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI2MDIwsDM2NJYyboWEAAA__86gqihQAAAAA&item_id=2302806393
6151,iPhone 11,5,Отлично,/catalog/phones/apple/iphone_11/reviews-ASgBAgICA0SywA2kmzm0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnIzNLSyNLEyMBIyboWEAAA__91ZqjZQAAAAA&item_id=2699294202
3001,iPhone X,4,Всем советуюдля работы и для личного пользованияпросто маленький компьютер,/catalog/phones/apple/iphone_x/reviews-ASgBAgICA0SywA2q2zi0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI2MDIwsDM2NJYyboWEAAA__86gqihQAAAAA&item_id=2302806393
3908,iPhone XR в корпусе 13 Pro,5,цена качество соответствует,/catalog/phones/apple/iphone_xr/reviews-ASgBAgICA0SywA2W5Ti0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnIxMzI1NzEwNhcyboWEAAA___Jo9YSQAAAAA&item_id=2462574037
6620,iPhone 11,5,Я уже говорил самое крутое в этой модели ценакачество За 3040 к получаешь один из топовых телефонов,/catalog/phones/apple/iphone_11/reviews-ASgBAgICA0SywA2kmzm0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnIzNLSyNLEyMBIyboWEAAA__91ZqjZQAAAAA&item_id=2699294202
4139,iPhone XR в корпусе 13 Pro,5,Выбирал телефон который не начнет лагать и тупить через 12 года а будет все так же хорошо работать,/catalog/phones/apple/iphone_xr/reviews-ASgBAgICA0SywA2W5Ti0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnIxMzI1NzEwNhcyboWEAAA___Jo9YSQAAAAA&item_id=2462574037
6687,iPhone 11,5,цена и качество,/catalog/phones/apple/iphone_11/reviews-ASgBAgICA0SywA2kmzm0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnIzNLSyNLEyMBIyboWEAAA__91ZqjZQAAAAA&item_id=2699294202
127,iPhone 14 Pro 128GB золотой,5,Посоветую любителям качественных фото и видео,/catalog/phones/apple/iphone_14_pro/reviews-ASgBAgICA0SywA3OjuUQtMANzqs50LwOrvLbAg?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI1MTYyNTY1MxEyboWEAAA__9O2KZXQAAAAA&item_id=2543253564
371,iPhone 14 Pro Deep Purple 256,2,Кто гонится за пискоммоды,/catalog/phones/apple/iphone_14_pro/reviews-ASgBAgICA0SywA3OjuUQtMANzqs50LwOrvLbAg?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI1MLQwtLC0NJUyboWEAAA__8947I4QAAAAA&item_id=2581898195
178,iPhone 14 Pro 128GB золотой,5,выбрала по совету и очень довольна всем советую,/catalog/phones/apple/iphone_14_pro/reviews-ASgBAgICA0SywA3OjuUQtMANzqs50LwOrvLbAg?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI1MTYyNTY1MxEyboWEAAA__9O2KZXQAAAAA&item_id=2543253564
2931,iPhone X,4,Всемм,/catalog/phones/apple/iphone_x/reviews-ASgBAgICA0SywA2q2zi0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI2MDIwsDM2NJYyboWEAAA__86gqihQAAAAA&item_id=2302806393
5188,iPhone 11,5,Выбирал модель прошлого поколения при выходе 12го Ничуть не хуже а цена была адекватной,/catalog/phones/apple/iphone_11/reviews-ASgBAgICA0SywA2kmzm0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnIzNLSyNLEyMBIyboWEAAA__91ZqjZQAAAAA&item_id=2699294202
4815,"iPhone 14 Pro Max 256GB, чёрный",5,Тупо топ,/catalog/phones/apple/iphone_14_pro_max/reviews-ASgBAgICA0SywA3YjuUQtMANzqs50LwOrvLbAg?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI1NTQwMDEwtBUyboWEAAA__90Z26HQAAAAA&item_id=2551004815
626,iPhone 8,5,Мне нужен был небольшой размер телефона и качественные фото,/catalog/phones/apple/iphone_8/reviews-ASgBAgICA0SywA20sDi0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI1MDc1MTQ0thMyboWEAAA__9I8OvEQAAAAA&item_id=2507541936
3881,iPhone XR в корпусе 13 Pro,1,Не кому Не советую,/catalog/phones/apple/iphone_xr/reviews-ASgBAgICA0SywA2W5Ti0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnIxMzI1NzEwNhcyboWEAAA___Jo9YSQAAAAA&item_id=2462574037
5859,iPhone 11,5,Всем кто хочет делать со своим телефоном намного больше чем звонить и фотографировать,/catalog/phones/apple/iphone_11/reviews-ASgBAgICA0SywA2kmzm0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnIzNLSyNLEyMBIyboWEAAA__91ZqjZQAAAAA&item_id=2699294202
2262,iPhone 13 128gb новый,5,Актуальная модель,/catalog/phones/apple/iphone_13/reviews-ASgBAgICA0SywA3svcgBtMANzqs50LwOrvLbAg?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnIzNLU3MjIwMBEyboWEAAA__8PFBrfQAAAAA&item_id=2695722004
4215,iPhone XR в корпусе 13 Pro,5,Всем отличный телефон,/catalog/phones/apple/iphone_xr/reviews-ASgBAgICA0SywA2W5Ti0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnIxMzI1NzEwNhcyboWEAAA___Jo9YSQAAAAA&item_id=2462574037
5396,iPhone 11,5,Все отлично,/catalog/phones/apple/iphone_11/reviews-ASgBAgICA0SywA2kmzm0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnIzNLSyNLEyMBIyboWEAAA__91ZqjZQAAAAA&item_id=2699294202
3888,iPhone XR в корпусе 13 Pro,5,Достойный телефон за свою цену,/catalog/phones/apple/iphone_xr/reviews-ASgBAgICA0SywA2W5Ti0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnIxMzI1NzEwNhcyboWEAAA___Jo9YSQAAAAA&item_id=2462574037
4442,iPhone XR в корпусе 13 Pro,5,Бюджетная модель,/catalog/phones/apple/iphone_xr/reviews-ASgBAgICA0SywA2W5Ti0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnIxMzI1NzEwNhcyboWEAAA___Jo9YSQAAAAA&item_id=2462574037
1892,iPhone 12 Mini,5,хорошая модель компвктность внешеий вид,/catalog/phones/apple/iphone_12_mini/reviews-ASgBAgICA0SywA3MgTy0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI1MDcyNzIwMJUyboWEAAA___IT4ddQAAAAA&item_id=2507272085
1841,iPhone 12 Mini,5,по больше внутреней памяти,/catalog/phones/apple/iphone_12_mini/reviews-ASgBAgICA0SywA3MgTy0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI1MDcyNzIwMJUyboWEAAA___IT4ddQAAAAA&item_id=2507272085
5450,iPhone 11,5,Параметры и функции достаточны для работы все необходимые функции имеются Советую к использованию Будет прекрасным подарком как себе так и близким Менеджеру Максиму за оперативный подбор модели и выполнение заказа в максимально крроткие сроки по цвету СПАСИБО Подарочные аксесуары от фирмы очень актуальны Так держать Полный пакет документов с гарантиями подтверждают надежность фирмы Nice Device,/catalog/phones/apple/iphone_11/reviews-ASgBAgICA0SywA2kmzm0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnIzNLSyNLEyMBIyboWEAAA__91ZqjZQAAAAA&item_id=2699294202
2913,iPhone X,5,Юбилейная модель,/catalog/phones/apple/iphone_x/reviews-ASgBAgICA0SywA2q2zi0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI2MDIwsDM2NJYyboWEAAA__86gqihQAAAAA&item_id=2302806393
412,iPhone 14 Pro Deep Purple 256,5,Рекомендую,/catalog/phones/apple/iphone_14_pro/reviews-ASgBAgICA0SywA3OjuUQtMANzqs50LwOrvLbAg?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI1MLQwtLC0NJUyboWEAAA__8947I4QAAAAA&item_id=2581898195
4015,iPhone XR в корпусе 13 Pro,5,В цене не падает держит цену пользуется всегда спросом,/catalog/phones/apple/iphone_xr/reviews-ASgBAgICA0SywA2W5Ti0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnIxMzI1NzEwNhcyboWEAAA___Jo9YSQAAAAA&item_id=2462574037
4044,iPhone XR в корпусе 13 Pro,5,консультанты посоветовали нет отличий от 11,/catalog/phones/apple/iphone_xr/reviews-ASgBAgICA0SywA2W5Ti0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnIxMzI1NzEwNhcyboWEAAA___Jo9YSQAAAAA&item_id=2462574037
2274,iPhone 13 128gb новый,5,очень красивый и стильный телефон Рекомендую к покупке,/catalog/phones/apple/iphone_13/reviews-ASgBAgICA0SywA3svcgBtMANzqs50LwOrvLbAg?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnIzNLU3MjIwMBEyboWEAAA__8PFBrfQAAAAA&item_id=2695722004
4389,iPhone XR в корпусе 13 Pro,2,ввбрал за стиль брать не советую лучше купить модель свежее,/catalog/phones/apple/iphone_xr/reviews-ASgBAgICA0SywA2W5Ti0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnIxMzI1NzEwNhcyboWEAAA___Jo9YSQAAAAA&item_id=2462574037
5285,iPhone 11,5,Красивая удобная модель Советую к приобретению,/catalog/phones/apple/iphone_11/reviews-ASgBAgICA0SywA2kmzm0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnIzNLSyNLEyMBIyboWEAAA__91ZqjZQAAAAA&item_id=2699294202
4217,iPhone XR в корпусе 13 Pro,5,Бюджетный на данный момент телефон с хорошим функционалом,/catalog/phones/apple/iphone_xr/reviews-ASgBAgICA0SywA2W5Ti0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnIxMzI1NzEwNhcyboWEAAA___Jo9YSQAAAAA&item_id=2462574037
3953,iPhone XR в корпусе 13 Pro,5,посоветую тем кто ищет недорогой но хороший смартфон от apple,/catalog/phones/apple/iphone_xr/reviews-ASgBAgICA0SywA2W5Ti0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnIxMzI1NzEwNhcyboWEAAA___Jo9YSQAAAAA&item_id=2462574037
3135,iPhone X,5,Для работы и выполнения быстрых задач идеально подходит ,/catalog/phones/apple/iphone_x/reviews-ASgBAgICA0SywA2q2zi0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI2MDIwsDM2NJYyboWEAAA__86gqihQAAAAA&item_id=2302806393
4265,iPhone XR в корпусе 13 Pro,5,Характеристиками Состоянием Всем,/catalog/phones/apple/iphone_xr/reviews-ASgBAgICA0SywA2W5Ti0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnIxMzI1NzEwNhcyboWEAAA___Jo9YSQAAAAA&item_id=2462574037
2834,iPhone X,5,Юбилейный Айфонкупил потому что хотел экрана поменьшеДо этого использовал Sony Цвет рекомендую белыйочень красивый Советую тем кто пользовался айфоном в далёком 1315 году Или тем кто думал купить Мини,/catalog/phones/apple/iphone_x/reviews-ASgBAgICA0SywA2q2zi0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI2MDIwsDM2NJYyboWEAAA__86gqihQAAAAA&item_id=2302806393
984,iPhone 8,1,в 23 году никому не советую,/catalog/phones/apple/iphone_8/reviews-ASgBAgICA0SywA20sDi0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI1MDc1MTQ0thMyboWEAAA__9I8OvEQAAAAA&item_id=2507541936
306,iPhone 14 Pro Deep Purple 256,5,Посоветую своей семье,/catalog/phones/apple/iphone_14_pro/reviews-ASgBAgICA0SywA3OjuUQtMANzqs50LwOrvLbAg?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI1MLQwtLC0NJUyboWEAAA__8947I4QAAAAA&item_id=2581898195
407,iPhone 14 Pro Deep Purple 256,5,Покупайте очень выгодная цена товар пришёл в отличном состоянии Всё супер,/catalog/phones/apple/iphone_14_pro/reviews-ASgBAgICA0SywA3OjuUQtMANzqs50LwOrvLbAg?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI1MLQwtLC0NJUyboWEAAA__8947I4QAAAAA&item_id=2581898195
2812,iPhone X,5,Потому что Х Всем,/catalog/phones/apple/iphone_x/reviews-ASgBAgICA0SywA2q2zi0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI2MDIwsDM2NJYyboWEAAA__86gqihQAAAAA&item_id=2302806393
33,iPhone 14 Pro 128GB золотой,5,Давно хотела поменять старенький iPhone на новинку года Советую всем любителям яблок,/catalog/phones/apple/iphone_14_pro/reviews-ASgBAgICA0SywA3OjuUQtMANzqs50LwOrvLbAg?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI1MTYyNTY1MxEyboWEAAA__9O2KZXQAAAAA&item_id=2543253564
4550,iPhone XR в корпусе 13 Pro,5,Размер цена,/catalog/phones/apple/iphone_xr/reviews-ASgBAgICA0SywA2W5Ti0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnIxMzI1NzEwNhcyboWEAAA___Jo9YSQAAAAA&item_id=2462574037
5372,iPhone 11,5,Лучшая модель была на рынке,/catalog/phones/apple/iphone_11/reviews-ASgBAgICA0SywA2kmzm0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnIzNLSyNLEyMBIyboWEAAA__91ZqjZQAAAAA&item_id=2699294202
6617,iPhone 11,4,школьникам,/catalog/phones/apple/iphone_11/reviews-ASgBAgICA0SywA2kmzm0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnIzNLSyNLEyMBIyboWEAAA__91ZqjZQAAAAA&item_id=2699294202
2312,iPhone 13 128gb новый,5,Хорошая ценакачество,/catalog/phones/apple/iphone_13/reviews-ASgBAgICA0SywA3svcgBtMANzqs50LwOrvLbAg?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnIzNLU3MjIwMBEyboWEAAA__8PFBrfQAAAAA&item_id=2695722004
2224,iPhone 13 128gb новый,5,Был 11 его украли Пришлось экстренно покупать новый,/catalog/phones/apple/iphone_13/reviews-ASgBAgICA0SywA3svcgBtMANzqs50LwOrvLbAg?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnIzNLU3MjIwMBEyboWEAAA__8PFBrfQAAAAA&item_id=2695722004
4892,"iPhone 14 Pro Max 256GB, чёрный",5,мне очень нравится,/catalog/phones/apple/iphone_14_pro_max/reviews-ASgBAgICA0SywA3YjuUQtMANzqs50LwOrvLbAg?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI1NTQwMDEwtBUyboWEAAA__90Z26HQAAAAA&item_id=2551004815
313,iPhone 14 Pro Deep Purple 256,5,Не в обиду пользователям андроидофонов iPhone  это другой уровень хоть цены и запредельные для большинства,/catalog/phones/apple/iphone_14_pro/reviews-ASgBAgICA0SywA3OjuUQtMANzqs50LwOrvLbAg?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI1MLQwtLC0NJUyboWEAAA__8947I4QAAAAA&item_id=2581898195
4283,iPhone XR в корпусе 13 Pro,5,Модель посоветую тому кто не хочет потратить много средств но хочет получить отличный смартфон,/catalog/phones/apple/iphone_xr/reviews-ASgBAgICA0SywA2W5Ti0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnIxMzI1NzEwNhcyboWEAAA___Jo9YSQAAAAA&item_id=2462574037
2328,iPhone 13 128gb новый,5,беритене пожалеете,/catalog/phones/apple/iphone_13/reviews-ASgBAgICA0SywA3svcgBtMANzqs50LwOrvLbAg?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnIzNLU3MjIwMBEyboWEAAA__8PFBrfQAAAAA&item_id=2695722004
425,iPhone 8,5,качество,/catalog/phones/apple/iphone_8/reviews-ASgBAgICA0SywA20sDi0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI1MDc1MTQ0thMyboWEAAA__9I8OvEQAAAAA&item_id=2507541936
4178,iPhone XR в корпусе 13 Pro,5,Дёшево,/catalog/phones/apple/iphone_xr/reviews-ASgBAgICA0SywA2W5Ti0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnIxMzI1NzEwNhcyboWEAAA___Jo9YSQAAAAA&item_id=2462574037
6383,iPhone 11,4,Цена и качество,/catalog/phones/apple/iphone_11/reviews-ASgBAgICA0SywA2kmzm0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnIzNLSyNLEyMBIyboWEAAA__91ZqjZQAAAAA&item_id=2699294202
3821,iPhone XR в корпусе 13 Pro,5,Понравился внешний вид и хорошая производительность советую к покупке прагматичным и деловым людям,/catalog/phones/apple/iphone_xr/reviews-ASgBAgICA0SywA2W5Ti0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnIxMzI1NzEwNhcyboWEAAA___Jo9YSQAAAAA&item_id=2462574037
3257,iPhone X,5,Хороший вариантбюджетныйглавное можно не заморачиваться на счёт памяти и камеры,/catalog/phones/apple/iphone_x/reviews-ASgBAgICA0SywA2q2zi0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI2MDIwsDM2NJYyboWEAAA__86gqihQAAAAA&item_id=2302806393
2912,iPhone X,5,удобный размер,/catalog/phones/apple/iphone_x/reviews-ASgBAgICA0SywA2q2zi0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI2MDIwsDM2NJYyboWEAAA__86gqihQAAAAA&item_id=2302806393
2135,iPhone 13 128gb новый,5,В целом отличный телефон если вам не надо фотать мелочи Я же продал его и взял себе 13 про там есть режим макро,/catalog/phones/apple/iphone_13/reviews-ASgBAgICA0SywA3svcgBtMANzqs50LwOrvLbAg?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnIzNLU3MjIwMBEyboWEAAA__8PFBrfQAAAAA&item_id=2695722004
5013,"iPhone 14 Pro Max 256GB, чёрный",2,не кому не советую,/catalog/phones/apple/iphone_14_pro_max/reviews-ASgBAgICA0SywA3YjuUQtMANzqs50LwOrvLbAg?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI1NTQwMDEwtBUyboWEAAA__90Z26HQAAAAA&item_id=2551004815
3114,iPhone X,4,очень красивый дизайн и удобный в использовании,/catalog/phones/apple/iphone_x/reviews-ASgBAgICA0SywA2q2zi0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI2MDIwsDM2NJYyboWEAAA__86gqihQAAAAA&item_id=2302806393
3550,iPhone XR в корпусе 13 Pro,5,она хороша для базовых потребностей самый бюджетный приемлемый айфон тому у кого небольшой бюджет,/catalog/phones/apple/iphone_xr/reviews-ASgBAgICA0SywA2W5Ti0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnIxMzI1NzEwNhcyboWEAAA___Jo9YSQAAAAA&item_id=2462574037
2258,iPhone 13 128gb новый,5,Это топ,/catalog/phones/apple/iphone_13/reviews-ASgBAgICA0SywA3svcgBtMANzqs50LwOrvLbAg?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnIzNLU3MjIwMBEyboWEAAA__8PFBrfQAAAAA&item_id=2695722004
871,iPhone 8,4,Кому нравиться компактные телефоны,/catalog/phones/apple/iphone_8/reviews-ASgBAgICA0SywA20sDi0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI1MDc1MTQ0thMyboWEAAA__9I8OvEQAAAAA&item_id=2507541936
353,iPhone 14 Pro Deep Purple 256,5,Динамический остров с айфона 13 pro обновляться смысла не вижу,/catalog/phones/apple/iphone_14_pro/reviews-ASgBAgICA0SywA3OjuUQtMANzqs50LwOrvLbAg?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI1MLQwtLC0NJUyboWEAAA__8947I4QAAAAA&item_id=2581898195
2940,iPhone X,3,Посоветую тем кому важно владеть apple,/catalog/phones/apple/iphone_x/reviews-ASgBAgICA0SywA2q2zi0wA3OqznQvA6u8tsC?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnI2MDIwsDM2NJYyboWEAAA__86gqihQAAAAA&item_id=2302806393
2391,iPhone 13 128gb новый,5,Хотел попробовать iphone,/catalog/phones/apple/iphone_13/reviews-ASgBAgICA0SywA3svcgBtMANzqs50LwOrvLbAg?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnIzNLU3MjIwMBEyboWEAAA__8PFBrfQAAAAA&item_id=2695722004
2383,iPhone 13 128gb новый,5,Одна из лучших моделей,/catalog/phones/apple/iphone_13/reviews-ASgBAgICA0SywA3svcgBtMANzqs50LwOrvLbAg?context=H4sIAAAAAAAA_0q0MrKqLraysFJKK8rPDUhMT1WyLrYysVLKLEnNBTHNIcz4zBQQz9DASsnIzNLU3MjIwMBEyboWEAAA__8PFBrfQAAAAA&item_id=2695722004
